SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
596,TG,Telangana,TG_Nirmal,Nirmal,26,13,13,0,0,0,0,0,0,,
597,TG,Telangana,TG_Nizamabad,Nizamabad,63,33,30,0,0,1,1,0,0,,
598,TG,Telangana,TG_Peddapalli,Peddapalli,3,2,1,0,0,0,0,0,0,,
599,TG,Telangana,TG_Rajanna Sircilla,Rajanna Sircilla,6,4,2,0,0,0,0,0,0,,
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,190,171,17,2,0,8,8,0,0,,
601,TG,Telangana,TG_Sangareddy,Sangareddy,34,28,6,0,0,11,11,0,0,,
602,TG,Telangana,TG_Siddipet,Siddipet,4,3,1,0,0,1,1,0,0,,
603,TG,Telangana,TG_Suryapet,Suryapet,86,62,24,0,0,0,0,0,0,,
604,TG,Telangana,TG_Vikarabad,Vikarabad,41,25,15,1,0,1,1,0,0,,
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,1,1,0,0,0,0,0,0,0,,
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,1,1,0,0,0,0,0,0,0,,
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,33,10,23,0,0,0,0,0,0,,
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,9,9,0,0,0,0,0,0,0,,
0,TN,Tamil Nadu,TN_Railway Quarantine,Railway Quarantine,294,177,117,0,0,0,-16,16,0,,
0,TN,Tamil Nadu,TN_Airport Quarantine,Airport Quarantine,212,125,86,1,0,7,-2,9,0,,
0,TN,Tamil Nadu,TN_Other State,Other State,0,-3,0,3,0,0,0,0,0,,
544,TN,Tamil Nadu,TN_Ariyalur,Ariyalur,384,23,361,0,0,0,0,0,0,,
732,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,2328,1413,897,18,0,182,165,14,3,,
545,TN,Tamil Nadu,TN_Chennai,Chennai,25937,13089,12591,257,0,1392,515,861,16,,
546,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,167,19,147,1,0,1,1,0,0,,
547,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,498,42,455,1,0,7,6,1,0,,
548,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,23,15,8,0,0,4,4,0,0,,
549,TN,Tamil Nadu,TN_Dindigul,Dindigul,185,43,140,2,0,3,-10,13,0,,
550,TN,Tamil Nadu,TN_Erode,Erode,74,3,70,1,0,1,1,0,0,,
734,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,299,61,238,0,0,4,1,3,0,,
551,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,600,235,360,5,0,33,15,18,0,,
552,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,105,40,64,1,0,10,7,3,0,,
553,TN,Tamil Nadu,TN_Karur,Karur,87,7,80,0,0,0,0,0,0,,
554,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,38,17,21,0,0,1,1,0,0,,
555,TN,Tamil Nadu,TN_Madurai,Madurai,343,99,241,3,0,10,10,0,0,,
556,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,92,41,51,0,0,4,4,0,0,,
557,TN,Tamil Nadu,TN_Namakkal,Namakkal,89,11,77,1,0,4,4,0,0,,
564,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,14,0,14,0,0,0,0,0,0,,
558,TN,Tamil Nadu,TN_Perambalur,Perambalur,144,3,141,0,0,0,0,0,0,,
559,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,45,19,25,1,0,5,4,1,0,,
560,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,126,52,73,1,0,8,8,0,0,,
733,TN,Tamil Nadu,TN_Ranipet,Ranipet,164,68,95,1,0,25,24,1,0,,
561,TN,Tamil Nadu,TN_Salem,Salem,213,40,173,0,0,2,2,0,0,,
562,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,44,9,35,0,0,2,-1,3,0,,
731,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,106,18,88,0,0,0,0,0,0,,
563,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,127,37,90,0,0,2,1,1,0,,
565,TN,Tamil Nadu,TN_Theni,Theni,134,27,105,2,0,9,9,0,0,,
566,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,1581,771,795,15,0,105,81,24,0,,
567,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,83,38,45,0,0,14,14,0,0,,
568,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,389,161,226,2,0,24,14,10,0,,
569,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,132,26,105,1,0,12,8,4,0,,
570,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,407,54,352,1,0,7,1,6,0,,
735,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,42,11,31,0,0,0,0,0,0,,
571,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,114,0,114,0,0,0,0,0,0,,
572,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,548,220,326,2,0,26,10,16,0,,
573,TN,Tamil Nadu,TN_Vellore,Vellore,122,76,43,3,0,11,9,2,0,,
574,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,392,60,329,3,0,7,5,2,0,,
575,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,159,35,124,0,0,5,5,0,0,,
609,TR,Tripura,TR_Dhalai,Dhalai,200,30,170,0,0,1,-5,6,0,,
610,TR,Tripura,TR_Gomati,Gomati,95,68,27,0,0,3,-19,22,0,,
611,TR,Tripura,TR_Khowai,Khowai,28,15,13,0,0,0,-9,9,0,,
612,TR,Tripura,TR_North Tripura,North Tripura,14,7,7,0,0,0,-3,3,0,,
613,TR,Tripura,TR_Sipahijala,Sipahijala,355,346,9,0,0,7,3,4,0,,
614,TR,Tripura,TR_South Tripura,South Tripura,75,71,4,0,0,1,-1,2,0,,
615,TR,Tripura,TR_Unokoti,Unokoti,52,51,1,0,0,2,2,0,0,,
616,TR,Tripura,TR_West Tripura,West Tripura,78,69,8,1,0,17,16,1,0,,
617,UP,Uttar Pradesh,UP_Agra,Agra,994,134,805,55,0,8,6,1,1,,
618,UP,Uttar Pradesh,UP_Aligarh,Aligarh,226,103,105,18,0,6,4,1,1,,
619,UP,Uttar Pradesh,UP_Ambedkar Nagar,Ambedkar Nagar,94,43,48,3,0,0,-1,1,0,,
620,UP,Uttar Pradesh,UP_Amethi,Amethi,214,97,116,1,0,0,-39,38,1,,
621,UP,Uttar Pradesh,UP_Amroha,Amroha,75,18,56,1,0,1,1,0,0,,
622,UP,Uttar Pradesh,UP_Auraiya,Auraiya,52,24,26,2,0,1,1,0,0,,
765,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,150,43,103,4,0,5,-7,12,0,,
623,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,161,71,87,3,0,2,-49,51,0,,
624,UP,Uttar Pradesh,UP_Baghpat,Baghpat,119,90,28,1,0,15,15,0,0,,
625,UP,Uttar Pradesh,UP_Bahraich,Bahraich,106,30,76,0,0,0,-4,4,0,,
626,UP,Uttar Pradesh,UP_Ballia,Ballia,60,21,39,0,0,0,-2,2,0,,
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,47,10,36,1,0,0,0,0,0,,
628,UP,Uttar Pradesh,UP_Banda,Banda,31,6,24,1,0,4,4,0,0,,
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,187,46,140,1,0,1,1,0,0,,
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,75,35,38,2,0,0,0,0,0,,
631,UP,Uttar Pradesh,UP_Basti,Basti,244,97,137,10,0,5,-10,10,5,,
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,76,53,23,0,0,0,-4,4,0,,
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,168,79,86,3,0,0,-7,7,0,,
634,UP,Uttar Pradesh,UP_Budaun,Budaun,48,9,38,1,0,0,0,0,0,,
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,249,136,105,8,0,11,10,0,1,,
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,39,20,18,1,0,1,0,1,0,,
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,65,30,33,2,0,0,0,0,0,,
638,UP,Uttar Pradesh,UP_Deoria,Deoria,138,63,72,3,0,1,-16,17,0,,
639,UP,Uttar Pradesh,UP_Etah,Etah,53,31,18,4,0,0,0,0,0,,
640,UP,Uttar Pradesh,UP_Etawah,Etawah,96,54,41,1,0,2,2,0,0,,
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,60,33,26,1,0,5,5,0,0,,
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,69,30,39,0,0,0,0,0,0,,
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,324,64,242,18,0,5,-6,11,0,,
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,746,284,453,9,0,19,-9,27,1,,
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,538,231,293,14,0,7,-11,15,3,,
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,167,84,83,0,0,0,0,0,0,,
648,UP,Uttar Pradesh,UP_Gonda,Gonda,108,49,59,0,0,17,17,0,0,,
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,148,87,53,8,0,3,0,3,0,,
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,15,10,5,0,0,0,0,0,0,,
651,UP,Uttar Pradesh,UP_Hapur,Hapur,198,94,101,3,0,0,-1,0,1,,
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,126,84,42,0,0,2,-2,4,0,,
653,UP,Uttar Pradesh,UP_Hathras,Hathras,47,22,24,1,0,2,0,2,0,,
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,72,27,41,4,0,2,2,0,0,,
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,352,191,158,3,0,51,43,8,0,,
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,64,24,32,8,0,1,-3,2,2,,
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,112,68,44,0,0,7,3,4,0,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,40,27,12,1,0,1,1,0,0,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,560,200,342,18,0,5,1,3,1,,
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,26,11,15,0,0,0,0,0,0,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,50,3,47,0,0,0,0,0,0,,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,57,44,11,2,0,0,-3,3,0,,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,82,19,63,0,0,2,2,0,0,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,3,1,1,1,0,0,0,0,0,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,482,135,340,7,0,2,-11,12,1,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,89,51,37,1,0,0,-1,1,0,,
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,24,13,10,1,0,1,1,0,0,,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,95,55,36,4,0,8,-1,7,2,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,113,38,69,6,0,6,6,0,0,,
670,UP,Uttar Pradesh,UP_Mau,Mau,62,30,31,1,0,0,-1,1,0,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,567,145,382,40,0,14,-6,20,0,,
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,42,15,27,0,0,2,-2,4,0,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,275,71,193,11,0,0,-3,3,0,,
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,137,67,68,2,0,7,7,0,0,,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,66,22,44,0,0,10,10,0,0,,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,91,13,74,4,0,1,1,0,0,,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,133,45,84,4,0,1,-1,2,0,,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,100,31,68,1,0,0,-3,3,0,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,225,53,170,2,0,3,5,-2,0,,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,273,41,232,0,0,1,0,1,0,,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,153,68,84,1,0,5,4,1,0,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,155,87,61,7,0,2,-5,7,0,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,53,34,19,0,0,4,4,0,0,,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,51,10,41,0,0,0,0,0,0,,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,47,18,28,1,0,0,0,0,0,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,164,57,104,3,0,12,10,2,0,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,44,4,40,0,0,0,0,0,0,,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,24,18,6,0,0,0,-2,2,0,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,105,36,68,1,0,1,-6,7,0,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,61,31,28,2,0,2,2,0,0,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,248,100,143,5,0,1,1,0,0,,
692,UT,Uttarakhand,UT_Almora,Almora,74,6,67,1,0,0,-5,5,0,,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,40,22,18,0,0,0,0,0,0,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,34,7,27,0,0,0,-4,4,0,,
695,UT,Uttarakhand,UT_Champawat,Champawat,48,17,30,1,0,0,-3,3,0,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,403,219,169,11,4,7,-25,30,2,,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,154,98,54,0,2,3,-6,9,0,,
698,UT,Uttarakhand,UT_Nainital,Nainital,334,117,216,1,0,6,6,0,0,,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,52,23,28,1,0,1,-5,6,0,,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,51,30,21,0,0,0,0,0,0,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,29,26,3,0,0,1,1,0,0,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,223,125,98,0,0,2,2,0,0,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,95,17,78,0,0,4,-11,15,0,,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,25,3,22,0,0,1,-3,4,0,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,38,31,7,0,0,0,-1,1,0,,
706,WB,West Bengal,WB_Bankura,Bankura,153,110,43,0,0,13,13,0,0,,
707,WB,West Bengal,WB_Birbhum,Birbhum,235,55,179,1,0,2,-2,4,0,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,217,150,67,0,0,1,1,0,0,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,44,9,35,0,0,0,-2,2,0,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,128,85,40,3,0,10,10,0,0,,
711,WB,West Bengal,WB_Hooghly,Hooghly,649,436,201,12,0,30,20,10,0,,
712,WB,West Bengal,WB_Howrah,Howrah,1524,926,543,55,0,29,18,9,2,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,101,87,14,0,0,1,-1,2,0,,
714,WB,West Bengal,WB_Jhargram,Jhargram,11,5,6,0,0,0,0,0,0,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,23,15,7,1,0,1,1,0,0,,
716,WB,West Bengal,WB_Kolkata,Kolkata,3128,1632,1221,275,0,110,84,16,10,,
717,WB,West Bengal,WB_Malda,Malda,235,114,121,0,0,2,-6,8,0,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,149,43,103,3,0,4,1,2,1,,
720,WB,West Bengal,WB_Nadia,Nadia,149,73,74,2,0,15,9,6,0,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,1258,764,431,63,0,72,48,20,4,,
0,WB,West Bengal,WB_Other State,Other State,66,22,41,3,0,0,-23,23,0,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,90,44,44,2,0,6,2,4,0,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,209,146,62,1,0,19,18,1,0,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,127,23,104,0,0,2,-4,6,0,,
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,171,90,79,2,0,10,7,3,0,,
725,WB,West Bengal,WB_Purulia,Purulia,83,41,42,0,0,0,0,0,0,,
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,331,204,118,9,0,14,13,1,0,,
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,209,12,197,0,0,2,-39,41,0,,
728,AN,Andaman and Nicobar Islands,AN_Unknown,Unknown,2,2,0,0,,0,0,0,0,,
729,AP,Andhra Pradesh,AP_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
730,AR,Arunachal Pradesh,AR_Unknown,Unknown,0,-2,2,0,,0,0,0,0,,
731,AS,Assam,AS_Unknown,Unknown,319,-133,452,0,,0,0,0,0,,
732,BR,Bihar,BR_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
733,CH,Chandigarh,CH_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
734,CT,Chhattisgarh,CT_Unknown,Unknown,0,-51,51,0,,0,0,0,0,,
735,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Unknown,Unknown,5,5,0,0,,0,0,0,0,,
737,DL,Delhi,DL_Unknown,Unknown,32022,18794,12245,983,,0,0,0,0,,
738,GA,Goa,GA_Unknown,Unknown,4,4,0,0,,0,0,0,0,,
739,GJ,Gujarat,GJ_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
740,HR,Haryana,HR_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
741,HP,Himachal Pradesh,HP_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
742,JK,Jammu and Kashmir,JK_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
743,JH,Jharkhand,JH_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
744,KA,Karnataka,KA_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
745,KL,Kerala,KL_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
746,LA,Ladakh,LA_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
747,LD,Lakshadweep,LD_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
748,MP,Madhya Pradesh,MP_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
749,MH,Maharashtra,MH_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
750,MN,Manipur,MN_Unknown,Unknown,31,-2,33,0,,0,0,0,0,,
751,ML,Meghalaya,ML_Unknown,Unknown,8,8,0,0,,0,0,0,0,,
752,MZ,Mizoram,MZ_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
753,NL,Nagaland,NL_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
754,OR,Odisha,OR_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
755,PY,Puducherry,PY_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
756,PB,Punjab,PB_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
757,RJ,Rajasthan,RJ_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
758,SK,Sikkim,SK_Unknown,Unknown,3,0,3,0,,0,0,0,0,,
759,TN,Tamil Nadu,TN_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
760,TG,Telangana,TG_Unknown,Unknown,450,-942,1266,126,,0,0,0,0,,
761,TR,Tripura,TR_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
762,UP,Uttar Pradesh,UP_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
763,UT,Uttarakhand,UT_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
764,WB,West Bengal,WB_Unknown,Unknown,0,0,0,0,,0,0,0,0,,
