"bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","sqft_living15","sqft_lot15","priceinK","PYears","Pmonth"
4,2,3300,10250,1,"0","0","3","7",2390,910,1946,1991,"98040",1950,6.045,905,"2014","9"
3,2,1960,15681,1,"0","0","3","7",1960,0,1967,0,"98032",1750,15.616,247.5,"2015","3"
4,2,1160,6400,1,"0","0","4","7",1160,0,1975,0,"98023",1160,6.4,199,"2014","9"
3,2,1810,41800,1,"0","0","5","7",1210,600,1980,0,"98038",1650,135.036,314,"2014","7"
3,2,2320,36847,2,"0","2","3","9",2320,0,1992,0,"98045",2550,35.065,437.5,"2014","5"
3,2,2070,13241,1.5,"0","0","5","9",1270,800,1910,0,"98102",2200,4.5,850.8,"2014","6"
3,2,1980,3478,1.5,"0","0","4","7",1440,540,1929,0,"98117",1610,3.478,555,"2014","10"
3,2,2190,107593,2,"0","0","4","8",2190,0,1983,0,"98077",2570,47.777,700,"2014","12"
3,2,2920,8113,2,"0","0","3","8",2920,0,1950,2010,"98004",2370,8.113,1090,"2014","10"
3,1,1210,33919,1,"0","0","3","7",1210,0,1954,0,"98058",1640,14.91,290,"2014","9"
3,2,2340,10005,1,"0","0","4","8",1460,880,1978,0,"98058",2250,8.162,375,"2015","4"
3,1,1670,4005,1.5,"0","0","4","7",1170,500,1939,0,"98117",1240,4.005,460,"2014","5"
2,2,1240,2493,1,"0","0","4","8",1240,0,1985,0,"98198",1270,4.966,188.5,"2014","7"
4,2,3140,28037,2,"0","0","4","10",3140,0,1991,0,"98077",2990,35.001,680,"2015","3"
5,2,2030,12342,2,"0","0","4","7",2030,0,1942,0,"98052",2500,9.433,470,"2014","8"
4,2,2310,9624,2,"0","0","3","8",2310,0,1984,0,"98027",1940,9.636,597.8,"2014","7"
3,2,1260,3328,1,"0","0","5","6",700,560,1905,0,"98103",1380,3.536,570,"2015","3"
3,2,1540,12600,1,"0","0","4","7",1160,380,1980,0,"98038",1540,11.656,272.5,"2014","9"
3,2,2080,5969,1,"0","2","3","7",1080,1000,1971,0,"98108",2090,5.5,329.9,"2014","11"
4,2,3230,16171,2,"0","3","3","9",2520,710,2001,0,"98001",2640,8.517,480,"2014","10"
3,4,4380,6350,2,"0","0","3","8",2780,1600,1900,1999,"98117",1830,6.35,740.5,"2014","11"
3,4,1590,1102,3,"0","0","3","8",1590,0,2010,0,"98103",1620,3.166,518.5,"2014","6"
2,1,880,6780,1,"0","0","4","6",880,0,1945,0,"98178",1190,6.78,205.4,"2014","6"
4,2,1570,9600,1,"0","0","3","6",1570,0,1950,0,"98168",1880,9,171.8,"2015","1"
4,1,1610,2982,1.5,"0","0","4","7",1610,0,1925,0,"98144",1610,4.04,535,"2015","5"
3,2,2400,6474,1,"0","2","3","8",1560,840,1964,0,"98177",2340,10.856,660,"2015","1"
3,2,1450,9132,1,"0","0","3","7",1450,0,1987,0,"98034",1580,9.104,391.5,"2014","11"
2,1,770,6000,1,"0","0","3","6",770,0,1953,0,"98117",1710,6,395,"2015","4"
4,2,2100,4400,1.5,"0","0","5","7",1720,380,1924,0,"98118",1850,4.4,445,"2014","11"
3,2,2910,10204,2,"0","0","3","9",2910,0,1990,0,"98052",2700,13.992,770,"2014","6"
4,3,2750,17789,1.5,"0","0","3","8",1980,770,1914,1992,"98004",3060,11.275,1450,"2015","3"
3,2,2100,8201,1,"0","2","3","8",1620,480,1967,0,"98178",2660,8.712,445,"2014","7"
4,2,2160,8811,1,"0","0","3","8",1360,800,1978,0,"98023",2090,8.4,260,"2014","7"
5,4,2320,4960,2,"0","0","5","7",1720,600,1926,0,"98103",1700,4.96,822.5,"2014","6"
4,2,2070,4310,2,"0","0","3","7",2070,0,2004,0,"98065",1970,3.748,430,"2015","4"
3,2,1060,7875,1,"0","0","4","7",1060,0,1986,0,"98092",1420,7.68,212,"2015","1"
4,2,2010,9603,1,"0","0","3","8",1440,570,1986,0,"98027",2060,9.793,660.5,"2015","4"
3,4,3950,111078,1.5,"0","0","3","9",2460,1490,1989,0,"98052",2480,88.5,784,"2014","6"
3,2,2010,2287,2,"0","0","3","8",1390,620,2014,0,"98029",1690,1.662,453.2,"2014","5"
4,4,2140,2278,3,"0","0","3","9",2140,0,2005,0,"98107",1540,2.285,675,"2015","1"
3,2,1320,17390,1,"0","0","4","7",1320,0,1956,0,"98003",1550,19.265,199,"2014","8"
4,2,2020,7840,1,"0","0","3","7",1010,1010,1968,0,"98003",1750,8.14,220,"2014","8"
4,2,2590,10002,1,"0","0","4","8",1340,1250,1968,0,"98028",1550,10.436,452,"2014","5"
2,1,1190,4440,1,"0","0","3","6",1190,0,1981,0,"98125",1060,5.715,382.5,"2014","7"
3,2,1170,1249,3,"0","0","3","8",1170,0,2014,0,"98107",1350,1.31,520,"2014","5"
2,1,1110,3200,1,"0","0","3","7",1110,0,1925,0,"98119",1170,3.6,665,"2014","6"
5,2,2820,9375,1,"0","0","4","8",1550,1270,1968,0,"98006",2820,9.375,527.7,"2014","7"
3,1,1610,8579,1,"0","0","4","7",1010,600,1962,0,"98058",1610,8.579,205,"2015","5"
3,1,1060,8097,1,"0","0","4","7",940,120,1923,0,"98133",1560,7.94,420,"2015","4"
4,2,2030,8517,1,"0","0","4","8",1380,650,1961,0,"98006",2230,8.824,500,"2015","2"
4,2,3670,315374,2,"0","0","4","9",3670,0,1994,0,"98077",2840,87.991,921.5,"2014","12"
4,1,2550,4000,2,"0","0","3","8",2370,180,1905,0,"98109",2200,4,890,"2014","6"
2,2,2420,60984,2,"0","0","3","7",2420,0,2007,0,"98027",1940,193.842,430,"2014","8"
5,2,2260,12500,1,"0","0","4","8",1130,1130,1960,0,"98032",1360,18,258,"2014","10"
3,1,1430,3455,1,"0","0","3","7",980,450,1947,0,"98103",1450,4.599,511,"2014","11"
3,2,1360,3090,2,"0","0","3","8",1360,0,1990,0,"98103",1500,3.09,532.2,"2014","8"
3,1,1110,5000,1.5,"0","0","3","7",1110,0,1947,0,"98107",1420,5,560,"2015","4"
3,1,1250,8200,1,"0","0","4","7",1250,0,1954,0,"98003",1680,8.633,282.9,"2015","3"
4,3,5180,19850,2,"0","3","3","12",3540,1640,2006,0,"98006",3160,9.75,2250,"2015","4"
1,1,700,5100,1,"0","0","3","7",700,0,1942,0,"98115",1010,5.1,350,"2014","5"
3,1,1180,7669,1,"0","0","4","7",1180,0,1967,0,"98058",1190,7.669,215,"2014","7"
5,4,3960,25245,2,"0","0","3","9",2500,1460,1996,0,"98056",2640,13.675,650,"2014","11"
4,3,2640,7500,1,"0","0","3","8",1620,1020,1967,0,"98023",1980,7.875,320,"2014","8"
3,2,1270,7198,1.5,"0","0","3","7",1270,0,1916,2013,"98022",1160,7.198,247,"2014","11"
4,2,1760,11180,1,"0","0","4","8",1760,0,1968,0,"98059",1730,11.18,320,"2014","10"
5,2,2060,8632,1,"0","0","3","7",1030,1030,1962,0,"98146",1010,11.68,255,"2014","5"
3,2,1780,9660,1,"0","0","3","7",1780,0,1962,0,"98034",1200,9.66,438,"2015","3"
3,2,3400,16603,2,"0","0","3","10",3400,0,2000,0,"98075",3400,12.601,900,"2015","3"
3,3,1910,7280,1,"0","0","3","7",1160,750,1979,0,"98034",1710,8.152,441,"2014","6"
3,2,2020,38332,1,"0","0","4","7",1010,1010,1975,0,"98027",2110,36.59,420,"2014","8"
3,2,1580,7000,1,"0","0","3","7",1180,400,1976,0,"98034",1640,7.5,370,"2014","12"
2,2,1340,7250,1,"0","0","5","5",700,640,1949,0,"98198",1830,9.75,269.9,"2015","2"
4,2,2680,4499,2,"0","0","3","9",2680,0,1999,0,"98006",2920,4.5,807.1,"2015","3"
3,2,2680,9750,1,"0","0","4","8",1610,1070,1979,0,"98034",2480,8.75,653,"2014","6"
3,2,1370,8336,1,"0","0","5","7",1370,0,1964,0,"98133",1770,7.288,371.5,"2014","6"
3,2,1560,21000,1,"0","0","3","7",1560,0,1954,0,"98166",1070,7.92,284,"2015","3"
3,2,2160,7140,1,"0","0","4","7",1670,490,1978,0,"98023",1930,7.35,272,"2015","1"
3,2,1340,7912,1.5,"0","0","3","7",1340,0,1955,0,"98133",1480,7.94,313,"2014","5"
4,2,3880,35003,2,"0","0","3","10",2570,1310,1984,0,"98033",3740,35.23,917.5,"2015","1"
4,2,2590,8190,2,"0","0","4","8",2590,0,1980,0,"98006",2260,8.335,673,"2014","9"
3,2,1120,1100,2,"0","0","3","8",820,300,2008,0,"98122",1590,1.795,425,"2015","2"
5,3,1970,5400,1,"0","0","3","7",1320,650,1986,0,"98144",1280,2.15,399.9,"2014","7"
3,1,1220,4800,1,"0","0","3","6",1220,0,1901,0,"98122",1200,4.8,385,"2014","5"
3,2,1950,7560,1,"0","2","4","7",1320,630,1975,0,"98022",1950,8.941,269.9,"2014","11"
2,1,1350,8220,1,"0","0","3","7",1060,290,1949,0,"98177",1540,8.28,330,"2015","1"
3,2,1670,5797,2,"0","0","3","7",1670,0,1988,0,"98030",1670,6.183,260,"2014","7"
4,3,2380,5125,1.5,"0","0","4","7",1680,700,1925,0,"98126",1410,5.375,470,"2015","4"
4,3,2440,9600,2,"0","0","5","7",2440,0,1961,0,"98034",2290,9.6,589,"2014","6"
2,2,1050,3419,2,"0","0","3","7",1050,0,1996,0,"98038",1050,3.417,163.5,"2014","7"
4,3,3130,13412,2,"0","0","3","9",2140,990,1993,0,"98052",2260,9.984,835,"2014","9"
5,3,4090,12850,1,"0","2","4","10",2090,2000,1986,0,"98033",2540,10.27,1100,"2014","11"
4,2,1490,10000,1,"0","0","4","8",1100,390,1969,0,"98023",2190,8.91,269,"2015","4"
3,2,1900,8744,2,"0","0","3","8",1900,0,1987,0,"98074",2030,8.744,560,"2014","5"
4,1,1330,2400,1.5,"0","0","4","6",1330,0,1901,0,"98103",1330,4.4,615,"2015","4"
3,2,2230,10026,1,"0","0","3","8",1430,800,1975,0,"98052",2230,9.34,585.2,"2014","12"
3,2,1650,9480,1,"0","0","3","7",1220,430,1977,0,"98034",1540,8.4,305,"2014","8"
3,1,1190,8820,1,"0","0","3","6",1190,0,1959,0,"98058",1230,7.98,166.9,"2014","11"
3,2,2140,9897,1,"0","0","4","8",2140,0,1959,0,"98040",2680,10.083,799,"2014","9"
3,2,2180,7508,1,"0","0","4","7",1420,760,1962,0,"98133",1900,7.818,400,"2014","6"
3,1,1060,10228,1,"0","0","3","7",1060,0,1948,0,"98155",1570,10.228,230,"2014","12"
3,2,1690,5025,2,"0","0","3","8",1690,0,2003,0,"98023",2550,5.001,256.9,"2014","5"
4,2,1970,6480,1.5,"0","0","5","7",1130,840,1920,0,"98108",1500,6.48,423,"2014","11"
3,2,2150,4084,2,"0","0","3","8",2150,0,2007,0,"98126",1750,2.385,465,"2014","7"
3,2,1910,66211,2,"0","0","3","7",1910,0,1997,0,"98024",2330,67.268,440,"2015","1"
3,2,1350,155073,1,"0","0","4","7",1350,0,1969,0,"98038",1560,50.965,385,"2014","10"
3,1,860,11725,1,"0","0","4","6",860,0,1943,0,"98056",1300,9.514,210,"2015","3"
3,2,1940,14952,2,"0","0","3","8",1940,0,1994,0,"98042",2030,10.45,297,"2014","11"
3,1,1010,5000,1,"0","0","3","7",1010,0,1952,0,"98107",1680,5,470,"2014","7"
3,2,1300,7370,1,"0","0","4","7",900,400,1976,0,"98023",1430,7.5,226.5,"2014","8"
3,1,910,8450,1,"0","0","4","6",910,0,1962,0,"98059",1400,8.04,274.2,"2015","3"
4,2,2480,11010,1,"0","0","4","9",1630,850,1966,0,"98040",2770,10.744,840,"2014","8"
3,2,2440,4587,2,"0","0","3","8",2440,0,2010,0,"98052",2750,4.587,677.9,"2014","9"
3,1,1010,5864,1,"0","0","3","7",1010,0,1915,0,"98116",1290,5,425,"2015","2"
2,1,900,9600,1,"0","0","3","6",900,0,1941,0,"98166",1250,14.28,180.2,"2014","11"
6,3,2300,3404,2,"0","0","3","7",1600,700,1920,1994,"98133",1560,1.312,464,"2014","7"
4,2,1550,7579,2,"0","0","3","8",1550,0,1993,0,"98038",1630,6.397,320,"2015","4"
3,2,1270,1566,2,"0","0","3","8",1060,210,2014,0,"98105",1160,1.327,625.5,"2014","7"
4,2,2240,12032,1,"0","0","3","9",2240,0,1983,0,"98074",2520,12.368,592.5,"2014","5"
3,2,2714,17936,2,"0","0","3","9",2714,0,2005,0,"98001",2590,18.386,465,"2015","1"
4,3,1720,6270,2,"0","0","3","8",1720,0,1978,0,"98118",2130,8.7,477,"2014","5"
2,1,850,16400,1,"0","0","3","6",850,0,1923,0,"98168",1100,14.459,280,"2015","1"
5,3,3300,33474,1,"0","3","3","9",1870,1430,1957,1991,"98040",3836,20.953,1510,"2015","2"
3,2,2250,5692,2,"0","0","3","8",2250,0,2000,0,"98146",1320,5.39,445.8,"2014","7"
2,2,3900,14864,1,"0","3","3","8",1950,1950,1947,0,"98144",2580,5.184,1070,"2014","8"
2,2,1320,10800,1,"0","0","4","8",1320,0,1947,0,"98177",2120,12.04,467,"2014","10"
4,2,2760,6440,2,"0","0","3","10",2760,0,1999,0,"98075",3070,8.127,686,"2014","8"
3,2,1750,9750,1,"0","0","3","7",1350,400,1961,0,"98198",1900,10.125,279.9,"2014","6"
4,2,2330,19436,2,"0","0","3","8",2330,0,1987,0,"98011",1910,10.055,527,"2014","9"
3,2,2220,16020,1,"0","0","4","8",1780,440,1966,0,"98030",2080,9.583,325,"2014","9"
3,2,2020,8379,2,"0","0","3","7",2020,0,1994,0,"98038",2020,8.031,328,"2014","9"
3,2,1250,7500,1,"0","0","5","7",1250,0,1942,0,"98146",1280,7.392,390,"2014","6"
2,2,1510,6516,1,"0","0","3","8",1510,0,2005,0,"98053",1640,6.009,479.9,"2015","3"
4,2,1720,9753,1,"0","0","4","7",1120,600,1978,0,"98023",1510,9.753,264.9,"2014","5"
3,1,1430,15246,1,"0","0","4","7",980,450,1961,0,"98031",1960,13.068,235,"2015","1"
3,2,1480,4729,2,"0","0","3","7",1480,0,2004,0,"98053",2250,4.729,516.5,"2015","3"
2,2,1450,15798,2,"1","4","3","7",1230,220,1915,1978,"98166",2030,13.193,655,"2015","4"
4,3,2280,15347,1,"0","0","5","7",2280,0,1960,0,"98059",2280,15.347,500,"2014","6"
6,3,2940,7350,1,"0","0","3","8",1780,1160,1978,0,"98023",2120,8.236,315,"2014","11"
2,1,1000,10200,1,"0","0","3","6",1000,0,1961,0,"98024",1150,13.702,213,"2014","11"
3,2,2480,5280,1.5,"0","0","5","7",1620,860,1947,0,"98108",2090,4.8,475,"2014","9"
5,4,3760,28040,2,"0","0","3","10",3760,0,1983,0,"98033",3430,35.096,1030,"2014","6"
3,2,2220,94300,1,"0","0","5","7",1640,580,1976,0,"98010",2070,80.1,416,"2015","4"
4,1,1970,4740,1.5,"0","0","3","7",1670,300,1904,2005,"98122",1510,4.74,410,"2015","3"
3,4,3830,221284,2,"0","0","3","10",3530,300,1993,0,"98077",2920,148.539,800,"2014","7"
6,2,4410,14034,1,"0","2","4","9",2350,2060,1965,0,"98003",2600,13.988,472,"2014","5"
3,2,1430,8505,1,"0","0","4","7",1430,0,1968,0,"98003",1190,8.64,225,"2014","12"
2,1,830,6000,1,"0","0","3","6",830,0,1940,0,"98126",830,4.96,210,"2014","10"
2,1,1430,5000,1.5,"0","0","2","7",1430,0,1925,0,"98115",1450,3.75,455,"2015","1"
3,1,1300,8316,1,"0","0","4","6",1300,0,1954,0,"98002",1260,8.316,225,"2015","4"
2,1,1030,3060,1,"0","2","4","7",790,240,1918,0,"98103",1390,3.06,480,"2014","8"
3,2,2740,11872,2,"0","0","3","9",2740,0,1990,0,"98023",2570,10.377,363,"2015","2"
4,2,3650,8354,1,"1","4","3","9",1830,1820,2000,0,"98074",3120,18.841,2400,"2014","9"
2,2,720,5120,1,"0","0","3","6",720,0,1954,0,"98106",1150,2.566,181,"2015","2"
4,2,2010,7312,1,"0","0","4","7",2010,0,1976,0,"98002",2010,7.65,250,"2015","3"
3,2,1560,3000,1,"0","0","4","6",770,790,1918,0,"98103",1390,3,481,"2015","4"
3,2,1810,7209,1,"0","0","4","7",1240,570,1978,0,"98032",1750,7.209,260,"2014","9"
4,2,3360,7685,2,"0","0","3","9",3360,0,2001,0,"98058",3060,6.567,455,"2014","5"
3,2,1510,36224,2,"0","0","3","8",1510,0,1991,0,"98045",1730,36.224,415,"2015","4"
3,1,1400,3538,1,"0","0","3","7",800,600,1953,0,"98118",1620,6.331,349.5,"2015","4"
3,2,1730,7442,2,"0","0","3","7",1730,0,1987,0,"98030",1630,6.458,245,"2014","9"
2,2,1420,9191,1.5,"0","2","5","7",1420,0,1928,0,"98115",1420,6.816,592.5,"2014","5"
4,2,2360,7620,1,"0","0","4","7",1180,1180,1955,0,"98106",1910,7.62,385,"2014","10"
3,2,1580,11455,1,"0","0","4","7",1200,380,1974,0,"98059",1550,10.65,315,"2015","2"
3,1,1230,10170,1,"0","0","3","7",1230,0,1979,0,"98045",1380,10.098,255,"2014","11"
4,2,2460,4425,2,"0","0","3","8",2460,0,2006,0,"98052",2990,5.659,693,"2014","8"
3,1,1660,4400,1.5,"0","0","3","8",1460,200,1911,0,"98112",1660,4.4,780,"2014","12"
3,2,1270,8470,1,"0","0","4","7",1270,0,1960,0,"98198",1600,8.47,237,"2014","10"
3,2,2100,40510,2,"0","0","3","10",1320,780,1979,0,"98074",2380,33.45,525,"2014","12"
2,1,770,5040,1,"0","0","3","5",770,0,1930,0,"98144",1330,2.58,425,"2015","4"
1,1,760,10079,1,"1","4","5","5",760,0,1936,0,"98070",1230,14.267,369.9,"2014","10"
4,2,1700,7280,2,"0","0","4","7",1700,0,1988,0,"98031",1950,7.475,290,"2014","5"
3,1,1120,10701,1,"0","0","3","7",1120,0,1954,0,"98106",1130,6.35,285,"2014","9"
